Symbol,Series,Security Name,Band,Remarks
AFTEK,EQ,Aftek Limited,20,-
AGCNET,EQ,AGC Networks Limited,20,-
AHLEAST,EQ,Asian Hotels (East) Limited,20,-
AHLUCONT,EQ,Ahluwalia Contracts (India) Limited,20,-
AHLWEST,EQ,Asian Hotels (West) Limited,20,-
AHMEDFORGE,EQ,Ahmednagar Forgings Limited,20,-
AIAENG,EQ,AIA Engineering Limited,20,-
AJANTPHARM,EQ,Ajanta Pharma Limited,20,-
AJMERA,EQ,Ajmera Realty & Infra India Limited,20,-
AKZOINDIA,EQ,Akzo Nobel India Limited,20,-
ALEMBICLTD,EQ,Alembic Limited,20,-
ALICON,EQ,Alicon Castalloy Limited,20,-
ALKALI,EQ,Alkali Metals Limited,20,-
ALKYLAMINE,EQ,Alkyl Amines Chemicals Limited,20,-
ALLCARGO,EQ,Allcargo Logistics Limited,20,-
ALPA,EQ,Alpa Laboratories Limited,20,-
ALPSINDUS,EQ,Alps Industries Limited,20,-
ALSTOMT&D,EQ,Alstom T&D India Limited,20,-
AMAR,EQ,Amar Remedies Limited,20,-
AMARAJABAT,EQ,Amara Raja Batteries Limited,20,-
AMARJOTHI,EQ,Amarjothi Spinning Mills Limited,20,-
AMBIKCO,EQ,Ambika Cotton Mills Limited,20,-
AMDIND,EQ,AMD Industries Limited,20,-
AMRUTANJAN,EQ,Amrutanjan Health Care Limited,20,-
AMTEKAUTO,EQ,Amtek Auto Limited,20,-
AMTEKINDIA,EQ,Amtek India Limited,20,-
ANANTRAJ,EQ,Anant Raj Industries Limited,20,-
ANDHRSUGAR,EQ,The Andhra Sugars Limited,20,-
ANIKINDS,EQ,Anik Industries Limited,20,-
ANSALAPI,EQ,Ansal Properties & Infrastructure Limited,20,-
ANSALHSG,EQ,Ansal Housing and Construction Limited,20,-
APARINDS,EQ,Apar Industries Limited,20,-
APCOTEXIND,EQ,Apcotex Industries Limited,20,-
APLAB,EQ,Aplab Limited,20,-
APLAPOLLO,EQ,APL Apollo Tubes Limited,20,-
APLLTD,EQ,Alembic Pharmaceuticals Limited,20,-
APOLLOHOSP,EQ,Apollo Hospitals Enterprise Limited,20,-
AQUA,EQ,Aqua Logistics Limited,20,-
ARCHIES,EQ,Archies Limited,20,-
ARIES,EQ,Aries Agro Limited,20,-
ARL,EQ,Arvind Remedies Limited,20,-
AROGRANITE,EQ,Aro Granite Industries Limited,20,-
ARROWTEX,EQ,Arrow Textiles Limited,20,-
ARSHIYA,EQ,Arshiya International Limited,20,-
ASAHIINDIA,EQ,Asahi India Glass Limited,20,-
ASAHISONG,EQ,Asahi Songwon Colors Limited,20,-
ASAL,EQ,Automotive Stampings and Assemblies Limited,20,-
ASHIANA,EQ,Ashiana Housing Limited,20,-
ASHOKA,EQ,Ashoka Buildcon Limited,20,-
ASIANHOTNR,EQ,Asian Hotels (North) Limited,20,-
ASTERSILI,EQ,Aster Silicates Limited,20,-
ASTRAL,EQ,Astral Poly Technik Limited,20,-
ASTRAMICRO,EQ,Astra Microwave Products Limited,20,-
ASTRAZEN,EQ,AstraZeneca Pharma India Limited,20,-
ATFL,EQ,Agro Tech Foods Limited,20,-
ATLANTA,EQ,Atlanta Limited,20,-
ATNINTER,EQ,ATN International Limited,20,-
ATUL,EQ,Atul Limited,20,-
AURIONPRO,EQ,Aurionpro Solutions Limited,20,-
AUTOAXLES,EQ,Automotive Axles Limited,20,-
AUTOLITIND,EQ,Autolite (India) Limited,20,-
AVENTIS,EQ,Aventis Pharma Limited,20,-
AXISGOLD,EQ,Axis Mutual Fund - Axis Gold ETF,20,-
BAJAJCORP,EQ,Bajaj Corp Limited,20,-
BAJAJELEC,EQ,Bajaj Electricals Limited,20,-
BAJAJFINSV,EQ,Bajaj Finserv Limited,20,-
BAJFINANCE,EQ,Bajaj Finance Limited,20,-
BALAJITELE,EQ,Balaji Telefilms Limited,20,-
BALAMINES,EQ,Balaji Amines Limited,20,-
BALKRISIND,EQ,Balkrishna Industries Limited,20,-
BALLARPUR,EQ,Ballarpur Industries Limited,20,-
BALMLAWRIE,EQ,Balmer Lawrie & Company Limited,20,-
BALPHARMA,EQ,Bal Pharma Limited,20,-
BANARISUG,EQ,Bannari Amman Sugars Limited,20,-
BANCOINDIA,EQ,Banco Products (I) Limited,20,-
BANG,EQ,Bang Overseas Limited,20,-
BANKBEES,EQ,Goldman Sachs Banking Index Exchange Traded Scheme,20,-
BANSWRAS,EQ,Banswara Syntex Limited,20,-
BARTRONICS,EQ,Bartronics India Limited,20,-
BASF,EQ,BASF India Limited,20,-
BASML,EQ,Bannari Amman Spinning Mills Limited,20,-
BATLIBOI,EQ,Batliboi Limited,20,-
BAYERCROP,EQ,Bayer Cropscience Limited,20,-
BBL,EQ,Bharat Bijlee Limited,20,-
BBTC,EQ,Bombay Burmah Trading Corporation Limited,20,-
BEPL,EQ,Bhansali Engineering Polymers Limited,20,-
